param_set,r,scheme,msg_bits,sign_k,trials,failures,dfr
trike160,10900,full_sign,5,,1000,155,1.55000000e-01
trike160,11000,full_sign,5,,2000,81,4.05000000e-02
trike160,11100,full_sign,5,,6000,44,7.33333333e-03
trike160,11200,full_sign,5,,63000,40,6.34920635e-04
trike160,11300,full_sign,5,,500000,27,5.40000000e-05
trike160,11400,full_sign,5,,2000000,5,2.50000000e-06
trike160,10900,high_mag_dev,5,3,1400,694,4.95714286e-01
trike160,11000,high_mag_dev,5,3,1400,322,2.30000000e-01
trike160,11100,high_mag_dev,5,3,1400,110,7.85714286e-02
trike160,11200,high_mag_dev,5,3,1400,23,1.64285714e-02
trike160,11300,high_mag_dev,5,3,9800,24,2.44897959e-03
trike160,11400,high_mag_dev,5,3,242200,40,1.65152766e-04
trike160,11500,high_mag_dev,5,3,775600,20,2.57864879e-05
trike160,10900,high_mag_dev,5,4,1400,595,4.25000000e-01
trike160,11000,high_mag_dev,5,4,1400,248,1.77142857e-01
trike160,11100,high_mag_dev,5,4,1400,86,6.14285714e-02
trike160,11200,high_mag_dev,5,4,2800,23,8.21428571e-03
trike160,11300,high_mag_dev,5,4,18200,22,1.20879121e-03
trike160,11400,high_mag_dev,5,4,403000,31,7.69230769e-05
trike160,11500,high_mag_dev,5,4,1000000,5,5.00000000e-06
trike256,24800,full_sign,5,,5000,42,8.40000000e-03
trike256,24900,full_sign,5,,20000,44,2.20000000e-03
trike256,25000,full_sign,5,,47000,40,8.51063830e-04
trike256,25100,full_sign,5,,205000,40,1.95121951e-04
trike256,25200,full_sign,5,,500000,25,5.00000000e-05
trike256,25300,full_sign,5,,500000,6,1.20000000e-05
trike256,25400,full_sign,5,,500000,1,2.00000000e-06
trike256,24800,high_mag_dev,5,3,1600,30,1.87500000e-02
trike256,24900,high_mag_dev,5,3,3200,26,8.12500000e-03
trike256,25000,high_mag_dev,5,3,4800,20,4.16666667e-03
trike256,25100,high_mag_dev,5,3,25600,20,7.81250000e-04
trike256,25200,high_mag_dev,5,3,91200,20,2.19298246e-04
trike256,25300,high_mag_dev,5,3,200000,7,3.50000000e-05
trike256,25400,high_mag_dev,5,3,200000,2,1.00000000e-05
trike256,25500,high_mag_dev,5,3,200000,0,0.00000000e+00
trike256,24800,high_mag_dev,5,4,1400,35,2.50000000e-02
trike256,24900,high_mag_dev,5,4,2800,21,7.50000000e-03
trike256,25000,high_mag_dev,5,4,8400,21,2.50000000e-03
trike256,25100,high_mag_dev,5,4,39200,20,5.10204082e-04
trike256,25200,high_mag_dev,5,4,145600,20,1.37362637e-04
trike256,25300,high_mag_dev,5,4,200000,12,6.00000000e-05
trike256,25400,high_mag_dev,5,4,200000,2,1.00000000e-05
trike256,25500,high_mag_dev,5,4,200000,1,5.00000000e-06
trike256,24800,high_mag_dev,5,6,1400,22,1.57142857e-02
trike256,24900,high_mag_dev,5,6,4200,22,5.23809524e-03
trike256,25000,high_mag_dev,5,6,11200,21,1.87500000e-03
trike256,25100,high_mag_dev,5,6,33600,21,6.25000000e-04
trike256,25200,high_mag_dev,5,6,100000,17,1.70000000e-04
trike256,25300,high_mag_dev,5,6,100000,4,4.00000000e-05
trike256,25400,high_mag_dev,5,6,100000,0,0.00000000e+00
trike256,24800,high_mag_dev,4,4,1600,25,1.56250000e-02
trike256,24900,high_mag_dev,4,4,3200,27,8.43750000e-03
trike256,25000,high_mag_dev,4,4,12800,24,1.87500000e-03
trike256,25100,high_mag_dev,4,4,35200,20,5.68181818e-04
trike256,25200,high_mag_dev,4,4,89600,20,2.23214286e-04
trike256,25300,high_mag_dev,4,4,200000,10,5.00000000e-05
trike256,25400,high_mag_dev,4,4,200000,5,2.50000000e-05
trike256,25500,high_mag_dev,4,4,200000,2,1.00000000e-05
trike256,24800,high_mag_dev,4,6,1600,27,1.68750000e-02
trike256,24900,high_mag_dev,4,6,4800,24,5.00000000e-03
trike256,25000,high_mag_dev,4,6,14400,20,1.38888889e-03
trike256,25100,high_mag_dev,4,6,33600,20,5.95238095e-04
trike384,52400,full_sign,5,,10000,53,5.30000000e-03
trike384,52500,full_sign,5,,12000,31,2.58333333e-03
trike384,52600,full_sign,5,,61000,54,8.85245902e-04
trike384,52700,full_sign,5,,62000,30,4.83870968e-04
trike384,52800,full_sign,5,,249000,51,2.04819277e-04
trike384,52900,full_sign,5,,200000,11,5.50000000e-05
trike384,53000,full_sign,5,,700000,21,3.00000000e-05
trike384,53100,full_sign,5,,200000,1,5.00000000e-06
trike384,53200,full_sign,5,,500000,5,1.00000000e-05
trike384,52400,high_mag_dev,5,3,2800,48,1.71428571e-02
trike384,52500,high_mag_dev,5,3,4200,34,8.09523810e-03
trike384,52600,high_mag_dev,5,3,4200,23,5.47619048e-03
trike384,52700,high_mag_dev,5,3,8400,25,2.97619048e-03
trike384,52800,high_mag_dev,5,3,19600,22,1.12244898e-03
trike384,52900,high_mag_dev,5,3,43400,20,4.60829493e-04
trike384,53000,high_mag_dev,5,3,95200,20,2.10084034e-04
trike384,53100,high_mag_dev,5,3,200000,17,8.50000000e-05
trike384,53200,high_mag_dev,5,3,568000,27,4.75352113e-05
trike384,53300,high_mag_dev,5,3,500000,7,1.40000000e-05
trike384,52400,high_mag_dev,5,4,2800,34,1.21428571e-02
trike384,52500,high_mag_dev,5,4,2800,23,8.21428571e-03
trike384,52600,high_mag_dev,5,4,4200,22,5.23809524e-03
trike384,52700,high_mag_dev,5,4,8400,21,2.50000000e-03
trike384,52800,high_mag_dev,5,4,19600,20,1.02040816e-03
trike384,52900,high_mag_dev,5,4,40600,21,5.17241379e-04
trike384,53000,high_mag_dev,5,4,105000,20,1.90476190e-04
trike384,53100,high_mag_dev,5,4,200000,13,6.50000000e-05
trike384,53200,high_mag_dev,5,4,700000,24,3.42857143e-05
trike384,53300,high_mag_dev,5,4,500000,11,2.20000000e-05
trike512,93000,full_sign,5,,,,7.90000000e-02
trike512,93500,full_sign,5,,,,1.20000000e-02
trike512,94000,full_sign,5,,,,1.30400000e-03
trike512,94500,full_sign,5,,,,4.94500000e-05
trike512,95000,full_sign,5,,,,3.33300000e-06
trike512,95500,full_sign,5,,,,0.00000000e+00
trike512,94000,high_mag_dev,5,3,1600,23,1.43750000e-02
trike512,94500,high_mag_dev,5,3,9600,20,2.08333333e-03
trike512,95000,high_mag_dev,5,3,100000,15,1.50000000e-04
trike512,95500,high_mag_dev,5,3,100000,0,0.00000000e+00
trike512,94000,high_mag_dev,5,4,1400,24,1.71428571e-02
trike512,94500,high_mag_dev,5,4,9800,20,2.04081633e-03
trike512,95000,high_mag_dev,5,4,100000,4,4.00000000e-05
trike512,95100,high_mag_dev,5,4,500000,1,2.00000000e-06
trike512,95200,high_mag_dev,5,4,500000,0,0.00000000e+00
trike512,95300,high_mag_dev,5,4,500000,0,0.00000000e+00
trike512,95400,high_mag_dev,5,4,500000,0,0.00000000e+00
trike512,95500,high_mag_dev,5,4,600000,0,0.00000000e+00
trike512,93000,high_mag_dev,5,6,140,42,3.00000000e-01
trike512,93500,high_mag_dev,5,6,280,37,1.32142857e-01
trike512,94000,high_mag_dev,5,6,1680,20,1.19047619e-02
trike512,94500,high_mag_dev,5,6,16100,20,1.24223602e-03
trike512,95000,high_mag_dev,5,6,100000,4,4.00000000e-05
trike512,95500,high_mag_dev,5,6,100000,0,0.00000000e+00
trike512,94000,high_mag_dev,4,4,1600,74,4.62500000e-02
trike512,94500,high_mag_dev,4,4,3200,20,6.25000000e-03
trike512,95000,high_mag_dev,4,4,41600,20,4.80769231e-04
trike512,95500,high_mag_dev,4,4,100000,0,0.00000000e+00
